q4,q5,q7,q8,q10,q11,q13,q15,q16,q18,q19,q21,q22,q24,q25,Satisfied_polls,Change_policy_overall,Change_economy,Change_welfare,Change_strategy,Next_election,Subjective_ideology,sex,birth,edu,party_combined,party_close_h14,Center_party,Liberal_party,Conservative_party,Christian_demo,Social_demo,Left_party,Green_party,Swedish_demo,Treatment_polls,party_close_rec,change_econ_rec,change_welfare_rec,policy_change,policy_change2,econ_rec2,welfare_rec2,change_welfare2,change_economy2,Change_strategy2,gov,seem.to.lose,party,n.months,gain.dif,gain.dif.tot,gain.dif.sq,gain.dif.pos,n.months.sq,age,Next_election2,economy3
,,,,,,,,,,1.0,,,,,4.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,1956.0,1.0,1.0,1.0,,,,,,1.0,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0,Left Party,18.0,0.1764705882352941,1.2000000000000002,0.0311418685121107,0.1764705882352941,324.0,60.0,0.0,2.0
,,,,,,,,1.0,,,,,,,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1956.0,1.0,2.0,1.0,,,,,1.0,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1,Social Democrats,16.0,0.159322033898305,4.699999999999999,0.0253835104854926,0.159322033898305,256.0,60.0,0.0,2.0
,,,,,,,,,,1.0,,,,,4.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1956.0,1.0,1.0,2.0,,,,,,1.0,,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0,Left Party,18.0,0.1764705882352941,1.2000000000000002,0.0311418685121107,0.1764705882352941,324.0,60.0,0.0,2.0
,,,,1.0,,,,,,,,,,,2.0,1.0,1.0,0.0,2.0,1.0,7.0,0.0,1956.0,1.0,5.0,1.0,,,0.0,,,,,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0,Conservatives,37.0,-0.145748987854251,-3.6000000000000014,-0.145748987854251,0.145748987854251,1369.0,60.0,0.0,2.0
,,,,,,,,,,1.0,,,,,3.0,1.0,2.0,,4.0,2.0,1.0,1.0,1955.0,1.0,1.0,1.0,,,,,,1.0,,,1.0,0.0,2.0,,1.0,1.0,1.0,,,0.0,2.0,0.0,0,Left Party,18.0,0.1764705882352941,1.2000000000000002,0.0311418685121107,0.1764705882352941,324.0,61.0,0.0,2.0
,,,1.0,,,,,,,,,,,,3.0,1.0,0.0,0.0,2.0,2.0,7.0,1.0,1960.0,1.0,4.0,2.0,,1.0,,,,,,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1,Liberal Party,16.0,0.1111111111111112,0.6000000000000005,0.0123456790123457,0.1111111111111112,256.0,56.0,0.0,1.0
,,,,,,,1.0,,,,,,,,1.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,1945.0,1.0,2.0,2.0,,,,,0.0,,,,0.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1,Social Democrats,27.0,-0.1627118644067795,-4.799999999999997,-0.1627118644067795,0.1627118644067795,729.0,71.0,0.0,2.0
,,,,,1.0,,,,,,,,,,3.0,1.0,0.0,0.0,3.0,4.0,,0.0,1955.0,1.0,5.0,1.0,,,1.0,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0,Conservatives,26.0,0.1538461538461538,3.8000000000000007,0.0236686390532544,0.1538461538461538,676.0,61.0,2.0,1.0
,,,,1.0,,,,,,,,,,,2.0,0.0,1.0,0.0,4.0,2.0,8.0,1.0,1964.0,1.0,5.0,1.0,,,0.0,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0,Conservatives,37.0,-0.145748987854251,-3.6000000000000014,-0.145748987854251,0.145748987854251,1369.0,52.0,0.0,2.0
,,,,,,,,,,1.0,,,,,4.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1956.0,0.0,1.0,1.0,,,,,,1.0,,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,Left Party,18.0,0.1764705882352941,1.2000000000000002,0.0311418685121107,0.1764705882352941,324.0,60.0,0.0,2.0
